source,target
translate ASL to English: MAN SAY,What is the man saying?
translate ASL to English: WOMAN SAY,What is the woman saying?
translate ASL to English: SCHOOL HE SUPPOSE,He was supposed to go to school.
translate ASL to English: SCHOOL I SUPPOSE,I was supposed to go to school.
translate ASL to English: HAT YOU NEED,You need a new hat.
translate ASL to English: ME DOG BITE,The black and white dog has bitten me.
translate ASL to English: BIRD DOG FETCH,The dog fetched the bird.
translate ASL to English: COW I HAVE,I have a cow.
translate ASL to English: ORANGE I EAT,I will eat the orange.
translate ASL to English: PIANO I LIKE,I like to play the piano.
translate ASL to English: BOOK I WANT,I want the book.
translate ASL to English: APPLE I WANT,I want an apple.
translate ASL to English: CHEESE I WANT,I want to eat the cheese.
translate ASL to English: HER YOU GIVE,What will you give her?
translate ASL to English: KINDERGARTEN YOU HAVE,"Now, now, eat quickly, you have to go to kindergarten."
translate ASL to English: APPLE DOG EAT,The dog is eating an apple.
translate ASL to English: PURPOSE WAYS SAY,"All is to no purpose, said the Preacher, all the ways of man are to no purpose."
translate ASL to English: BOOK EXCITE,A book can excite.
translate ASL to English: BOOK THRILL,A book can be thrilling.
translate ASL to English: TABLE WE PUT,We put the book on the table.
translate ASL to English: BOOK I HAVE,I have a book.
translate ASL to English: TRUTH WHO NEED,I need a man who tells the truth.
translate ASL to English: DENTIST YOU HAVE,How many times will you have to go to the dentist?
translate ASL to English: DENTIST YOU HAVE,How many times do you have to go to the dentist?
translate ASL to English: WHO KNOW,Who knows!
translate ASL to English: PARKS CITY HAVE,The city has many beautiful parks.
translate ASL to English: MAN WAIT,Who was that man waiting outside?
translate ASL to English: ONE HAVE,One has to forget this bad year.
translate ASL to English: WHAT YOU DO,Do what you can.
translate ASL to English: I LIKE,I don't like to work.
translate ASL to English: SHE LIKE,She doesn't like to work.
translate ASL to English: NUMBERS SCIENTISTS WORK,Many scientists work with numbers.
translate ASL to English: RACE FINISH,At what time will the race finish?
translate ASL to English: PATIENTS SMITH HAVE,Doctor Smith has many patients.
translate ASL to English: SHE NEED,She does not need to work.
translate ASL to English: SHE HAVE,She does not have to work.
translate ASL to English: I WANT,I want to go outside.
translate ASL to English: LUNCH YOU LIKE,What would you like for lunch?
translate ASL to English: DOCTOR CALL,How is my doctor called?
translate ASL to English: IT I USE,I used to do it all the time.
translate ASL to English: I WANT,"No, I don't want to go."
translate ASL to English: JOB I HAVE,I have a full time job.
translate ASL to English: WHAT YOU HAVE,I have no objection to what you want to do.
translate ASL to English: WHO BOOK BELONG,Who does the book belong to?
translate ASL to English: WORK I WANT,I don't want to go to work.
translate ASL to English: ACCIDENT TOM HAVE,Tom has no memory of the accident.
translate ASL to English: SCHOOL TOM WANT,Tom doesn't want to go to school.
translate ASL to English: THAT TOM HAVE,Tom had no right to do that.
translate ASL to English: I CRY,I cry all the time.
translate ASL to English: MEETING I HAVE,I have to go to a meeting now.
translate ASL to English: SLEEP YOU GO,At what time did you go to sleep yesterday?
translate ASL to English: KISS MISS,The kiss missed.
translate ASL to English: YOU TELL,Now you tell.
translate ASL to English: CINEMA WE WANT,We want to go to the cinema.
translate ASL to English: THEY KNOW,They know how to fish.
translate ASL to English: HIM I HAVE,I have to help him no matter what.
translate ASL to English: TIME HE LOSE,He lost no time.
translate ASL to English: WHAT WE DRINK,What should we drink and how much?
translate ASL to English: SCHOOL I SUPPOSE,I was supposed to be in graduate school by now.
translate ASL to English: WHAT I DECIDE,I couldn't decide what to do.
translate ASL to English: WHAT I DECIDE,I can't decide what to do.
translate ASL to English: MAN I SEE,I see a man and a woman.
translate ASL to English: YOU WHO BE,There are many people who can do the same as you.
translate ASL to English: CLOTHES I GO,I'll go change my clothes.
translate ASL to English: ALL DIE,"In short, all died out."
translate ASL to English: KAZAN YOU LIKE,How do you like Kazan?
translate ASL to English: MEMORIES TIME ERASE,Time erases many memories.
translate ASL to English: WHAT YOU FINISH,Finish what you started.
translate ASL to English: US WHAT TELL,Tell us what happened.
translate ASL to English: US THAT TELL,Tell us what that is.
translate ASL to English: MAN WHO CALL,What do you call a woman who works like a man? A lazy woman.
translate ASL to English: IT GO,Did it go well?
translate ASL to English: THEM LET,Let them go now.
translate ASL to English: IT 'S LET,Let's go for it.
translate ASL to English: WHAT YOU BELIEVE,Believe what you want.
translate ASL to English: DRIVE YOU WANT,Do you want to go for a drive?
translate ASL to English: HELP SOMEBODY HAVE,Somebody has to go for help.
translate ASL to English: WHAT YOU PACK,Pack what you need.
translate ASL to English: YOU WANT,Do you want to go again?
translate ASL to English: TOM WHAT TELL,Tell Tom what happened.
translate ASL to English: MELANIE STUDY,Melanie is studying right now.
translate ASL to English: DOG I LIKE,I would like to buy a dog.
translate ASL to English: THAT WE WANT,We want that.
translate ASL to English: THAT THEY WANT,They want that.
translate ASL to English: IT I LIKE,I will like it.
translate ASL to English: IT HE LIKE,He will like it.
translate ASL to English: IT SHE LIKE,She will like it.
translate ASL to English: IT MARY LIKE,Mary will like it.
translate ASL to English: IT WE LIKE,We will like it.
translate ASL to English: IT THEY LIKE,They will like it.
translate ASL to English: IT HE CHANGE,He will change it.
translate ASL to English: IT TOM CHANGE,Tom will change it.
translate ASL to English: IT SHE CHANGE,She will change it.
translate ASL to English: IT MARY CHANGE,Mary will change it.
translate ASL to English: IT WE CHANGE,We will change it.
translate ASL to English: IT THEY CHANGE,They will change it.
translate ASL to English: BOOK I HAVE,I have this book.
translate ASL to English: THAT DISCUSS,That will be discussed later.
translate ASL to English: IT THEY WANT,They want it.
translate ASL to English: DOG I LIKE,I like that dog.
translate ASL to English: WHAT YOU TELL,Tell Tom what you want.
translate ASL to English: WHAT YOU TELL,Tell Tom what you need.
translate ASL to English: IT BEGIN,How did it all begin?
translate ASL to English: WHAT IT MEAN,What does it all mean?
translate ASL to English: YOU ESCAPE,How did you all escape?
translate ASL to English: SON HE HAVE,He has a son.
translate ASL to English: SON TOM HAVE,Tom has a son.
translate ASL to English: SON SHE HAVE,She has a son.
translate ASL to English: SON MARY HAVE,Mary has a son.
translate ASL to English: SON WE HAVE,We have a son.
translate ASL to English: SON THEY HAVE,They have a son.
translate ASL to English: THAT PEOPLE DO,People do that all the time.
translate ASL to English: WHAT THAT MEAN,What does all that mean?
translate ASL to English: EVERYTHING GO,Everything's going to be all right.
translate ASL to English: FOOTBALL 'S LET,Let's go play football!
translate ASL to English: WHAT THAT PROVE,What will that prove?
translate ASL to English: WALK I GO,I'll go for a walk.
translate ASL to English: THEM YOU TELL,Tell them who you are.
translate ASL to English: IT PLAN,It was all planned.
translate ASL to English: CLOTHES NEED,You need formal clothes to go.
translate ASL to English: YOU TAKE,Take all the time you need.
translate ASL to English: YOU TAKE,Take all the time you want.
translate ASL to English: TIME TOM DO,What did Tom do time for?
translate ASL to English: BED YOU GET,What time did you get to bed last night?
translate ASL to English: BED TOM GO,What time did Tom go to bed?
translate ASL to English: TIME YOU START,What time did you start?
translate ASL to English: WHAT GIRL WANT,What does the girl want to know?
translate ASL to English: SITES LANGUAGE USE,The native language is now used on many web-sites.
translate ASL to English: IT I DO,"All right, I'll do it."
translate ASL to English: WHAT YOU CALL,Call it what you like.
translate ASL to English: WHAT YOU CALL,Call it what you want.
translate ASL to English: EVERYTHING HAVE,Everything will have to go.
translate ASL to English: THAT GIRLS SAY,Girls say that all the time.
translate ASL to English: THIS HAPPEN,How can this be happening?
translate ASL to English: THIS HELP,How can this help?
translate ASL to English: THIS START,How did all this start?
translate ASL to English: IT END,How will it end?
translate ASL to English: THAT HELP,How would that help?
translate ASL to English: THAT LOOK,How would that look?
translate ASL to English: IT GO,It's all going to be all right.
translate ASL to English: IT GO,It's all going to be fine.
translate ASL to English: IT DO,It's done all the time.
translate ASL to English: MISTAKES MAKE,Mistakes are made all the time.
translate ASL to English: IT ONE HAVE,No one can have it all.
translate ASL to English: ONE HELP,No one can help.
translate ASL to English: RIGHT ONE HAVE,No one has that right.
translate ASL to English: US ONE HELP,No one will help us.
translate ASL to English: NOTHING GO,Nothing can go wrong.
translate ASL to English: NOTHING GO,Nothing's going to go wrong.
translate ASL to English: WE GO,Now we can go.
translate ASL to English: WHAT WE DO,Now what do we do?
translate ASL to English: HIM YOU TELL,Tell him who you are.
translate ASL to English: THAT CHANGE,That will not change.
translate ASL to English: TIME THAT TAKE,That would take time.
translate ASL to English: THIS HAVE,This has to be the last one.
translate ASL to English: THIS GO,This is going to be fine.
translate ASL to English: THIS GO,This is not going to work.
translate ASL to English: WHAT YOU DO,What are you all doing?
translate ASL to English: WHAT THAT MEAN,What can all that mean?
translate ASL to English: TIME CONTEST START,What time does that contest start?
translate ASL to English: WHAT THAT ACCOMPLISH,What will that accomplish?
translate ASL to English: THAT KNOW,Who knows what that is?
translate ASL to English: THAT WHO DO,Who would do that?
translate ASL to English: THIS WHO DO,Who would do this?
translate ASL to English: HOSPITAL I LIKE,I'd like to work at a hospital.
translate ASL to English: CHOCOLATE I LIKE,I like dark chocolate.
translate ASL to English: SCHOOL I GO,I'll go to school.
translate ASL to English: ME WHAT TELL,Tell me what's wrong.
translate ASL to English: ME WHAT NEED,You need to tell me what's wrong.
translate ASL to English: WOMAN I WAIT,I'm waiting for the right woman.
translate ASL to English: MAN I WAIT,I'm waiting for the right man.
translate ASL to English: MUCH YOU DRINK,How much did you drink last night?
translate ASL to English: MOVIES YOU SEE,How many black and white movies have you seen?
translate ASL to English: MOVIES YOU WATCH,How many black and white movies have you watched?
translate ASL to English: THAT MARY HAVE,How many dresses like that does Mary have?
translate ASL to English: YOU WORK,How many hours did you work this week?
translate ASL to English: FULL HE GIVE,"Give a man some bread, and he'll be full for a day. Give a man the name of Full, and he'll be full forever."
translate ASL to English: YOU GO,How many dates did you go on last month?
translate ASL to English: MANY YOU WANT,How many did you want?
translate ASL to English: YOU MANY GO,How many of you are going?
translate ASL to English: PEOPLE INFECT,How many people are infected?
translate ASL to English: PEOPLE SURVIVE,How many people survived?
translate ASL to English: YOU PEOPLE WORK,How many people work for you?
translate ASL to English: IT HAPPEN,How many times did it happen?
translate ASL to English: THAT HAPPEN,How many times has that happened?
translate ASL to English: DINNER WE HAVE,How much time do we have before dinner?
translate ASL to English: TIME IT TAKE,How much time does it take?
translate ASL to English: TIME THAT REQUIRE,How much time does that require?
translate ASL to English: TIME LEAVE,How much time is left?
translate ASL to English: WOMAN WORK,The woman is working.
translate ASL to English: BOOK I NEED,I need a book to read.
translate ASL to English: WE NEED,We need to work together.
translate ASL to English: COW TOM HAVE,Tom has a cow.
translate ASL to English: WOMAN EMET LIKE,Emet doesn't like that woman.
translate ASL to English: SHE FORGET,Don't forget that she's a woman.
translate ASL to English: MAN I HOPE,I hope to meet this man.
translate ASL to English: WHAT AUTHOR WRITE,What does that author now write?
translate ASL to English: IT REMEMBER,"Remember what the park was, and what it now is!"
translate ASL to English: YOU WHO WANT,But who would want to dance with you?
translate ASL to English: WOMAN TOM LIKE,Tom doesn't like that woman.
translate ASL to English: MEDICINE HELP,The medicine didn't help at all.
translate ASL to English: YOU WANT,Do you want to go back?
translate ASL to English: MOVIE YOU WANT,Do you want to go to a movie?
translate ASL to English: DINNER YOU WANT,Do you want to go to dinner?
translate ASL to English: LUNCH YOU WANT,Do you want to go to lunch?
translate ASL to English: STARBUCKS YOU WANT,Do you want to go to Starbucks?
translate ASL to English: PARTY YOU WANT,Do you want to go to the party?
translate ASL to English: WHATEVER YOU EAT,Eat whatever you want.
translate ASL to English: SCHOOL YOU HAVE,I had no idea you were planning to go to graduate school.
translate ASL to English: CHOICE I HAVE,I have no choice but to go.
translate ASL to English: DIET I NEED,I need to go on a diet.
translate ASL to English: WHAT NEED THINK,I think that what you need now is a kiss.
translate ASL to English: SOMETHING NEED THINK,I think that what you need to do now is to eat something.
translate ASL to English: BOSTON I GO,I'll go to Boston later this year.
translate ASL to English: 'S LET,Let's all go together.
translate ASL to English: WE HAVE,We all have to go sometime.
translate ASL to English: WE LIKE,We all like to be appreciated.
translate ASL to English: THAT WE DO,We can do that later.
translate ASL to English: WHAT WE DO,We do what we want.
translate ASL to English: TIME WE HAVE,We have no comment at this time.
translate ASL to English: WE HAVE,We have to go on.
translate ASL to English: WE GO,We must go now.
translate ASL to English: RIGHT WE NEED,We need to do this right.
translate ASL to English: WHAT WE NEED,We need to do what we can.
translate ASL to English: BANK WE NEED,We need to go to the bank.
translate ASL to English: BED WE GO,We should all go to bed.
translate ASL to English: WE GO,We'll all go together.
translate ASL to English: THIS WE DO,We'll do this later.
translate ASL to English: WE GO,We'll just go now.
translate ASL to English: THAT YOU DO,You can do that later.
translate ASL to English: THAT YOU HAVE,You don't have to do that right now.
translate ASL to English: OBLIGATION YOU HAVE,You have no obligation to help.
translate ASL to English: YOU HAVE,You have to go now.
translate ASL to English: YOU GO,You must go now.
translate ASL to English: WORK YOU GO,You must go to work.
translate ASL to English: YOU NEED,You need to go back.
translate ASL to English: CHANGE YOU NEED,You need to go change.
translate ASL to English: FAMILY YOU NEED,You need to go home and be with your family.
translate ASL to English: YOU NEED,You need to go home.
translate ASL to English: YOU NEED,You need to go now.
translate ASL to English: HOSPITAL YOU NEED,You need to go to the hospital.
translate ASL to English: TOM YOU NEED,You need to go with Tom now.
translate ASL to English: THIS YOU DO,You probably do this all the time.
translate ASL to English: DRINK YOU NEED,You probably need a drink.
translate ASL to English: WORK YOU GO,You should go to work.
translate ASL to English: DOG YOU SMELL,You smell like a dog.
translate ASL to English: YOU GO,You'd better go now.
translate ASL to English: SCHOOL I GO,Tom and I go to the same school.
translate ASL to English: SCHOOL TOM USE,Tom and I used to go to the same school.
translate ASL to English: SCHOOL TOM GO,Tom and Mary don't go to the same school.
translate ASL to English: TIME TOM ARRIVE,Tom arrived at school on time.
translate ASL to English: TOM STUDY,Tom didn't study at all last summer.
translate ASL to English: TIME TOM HAVE,Tom has no comment at this time.
translate ASL to English: MARY TOM GO,Does Tom go to the same school as Mary?
translate ASL to English: YOU TOM GO,Does Tom go to the same school as you?
translate ASL to English: YOU WANT,I want you to start right now.
translate ASL to English: WALK TOM WANT,Tom wants to go for a walk.
translate ASL to English: STORE I WANT,I want to go to the store.
translate ASL to English: FISH TOM KNOW,Tom knows how to swim like a fish.
translate ASL to English: DOCTOR I TELL,I'll tell you this as a doctor.
translate ASL to English: TEHRAN I WANT,I want to go to Tehran.
translate ASL to English: IT I USE,"I used to eat pizza, but now I don't eat it at all."
translate ASL to English: IT WHO BE,There are some who like it.
translate ASL to English: PAPER SHE HAVE,She had no more paper.
translate ASL to English: THAT ME WANT,My mother didn't want me to be like that.
translate ASL to English: THEM THIS HELP,Will this help them?
translate ASL to English: WHAT YOU NEED,What do you need to buy?
translate ASL to English: IT I WANT,"All the same, I want to see it."
translate ASL to English: TIME RUN,Time is running short now.
translate ASL to English: WHAT YOU WANT,What do you want to do first?
translate ASL to English: WHAT YOU WANT,What do you want to do next?
translate ASL to English: TIME TOM CALL,What time did Tom call?
translate ASL to English: ORANGE EARTH SHAPE,The earth is shaped like an orange.
translate ASL to English: TAMPA I WANT,I want to go to Tampa.
translate ASL to English: FISH SHE DRINK,She drinks like a fish.
translate ASL to English: FISH MARY DRINK,Mary drinks like a fish.
translate ASL to English: CANDY SON LIKE,My son would like to eat some candy.
translate ASL to English: YEAR GO,How fast can a year go by!
translate ASL to English: TOM LOOK,It looks like Tom was right.
translate ASL to English: TOM LOOK,It looks like Tom was wrong.
translate ASL to English: MINNESOTA I WANT,I want to go to Minnesota.
translate ASL to English: SON SON HAVE,My son has a son.
translate ASL to English: RIGHT I RESERVE,I reserve the right to be wrong.
translate ASL to English: THIS IT GO,It goes like this.
translate ASL to English: MEDICINE I WANT,I want to buy the medicine.
translate ASL to English: CAMPING I WANT,I want to go camping.
translate ASL to English: WHO CONFUSE,Who is confused?
translate ASL to English: MEATBALLS YOU WANT,Do you want to eat meatballs?
translate ASL to English: SECRETARY I NEED,I need a secretary.
translate ASL to English: HELP TOM GO,Tom is going to need help.
translate ASL to English: TOM DO,Tom is doing all right.
translate ASL to English: THAT TOM DO,Tom did that last year.
translate ASL to English: ENOUGH I HAVE,I've had enough to eat for now.
translate ASL to English: BOSTON I LIKE,I'd like to study in Boston.
translate ASL to English: BOSTON I LIKE,I'd like to go to Boston.
translate ASL to English: BOSTON I LIKE,I'd like to be in Boston right now.
translate ASL to English: BOSTON I NEED,I need to go to Boston.
translate ASL to English: BOSTON YOU GO,How will you go to Boston?
translate ASL to English: BOSTON YOU LIKE,How do you like Boston?
translate ASL to English: IT HAVE,This time it has to work.
translate ASL to English: BOOK I WANT,"I want that book, please."
translate ASL to English: EVERYTHING GO,Everything's going to be all right now.
translate ASL to English: LANGUAGE WE PLAY,We can play with language.
translate ASL to English: YOU WANT,Do you want to play shogi?
translate ASL to English: IT I LIKE,"Yes, I like it."
translate ASL to English: PERFUME MAN KNOW,Do you know what it means for a man to give a woman perfume?
translate ASL to English: ROBOT TOM DANCE,Tom can dance like a robot.
translate ASL to English: SCHOOL THEY HAVE,They have to go to school.
translate ASL to English: THIS PEOPLE DO,Many people do this.
translate ASL to English: THAT WE LET,Let's meet at the same place that we met last time.
translate ASL to English: THIS WE HAVE,We don't have the time to discuss this right now.
translate ASL to English: SCHOOL SHE WANT,She doesn't want to go to school today.
translate ASL to English: SCHOOL HE WANT,He doesn't want to go to school today.
translate ASL to English: CONTROL GUYS WANT,Guys want to be in control all the time.
translate ASL to English: REPORT WE HAVE,We had no time to finish our report.
translate ASL to English: YOU STUDENTS HAVE,How many students have you?
translate ASL to English: I GO,I can go.
translate ASL to English: BOOK I LIKE,I would like to write a book.
translate ASL to English: TIME I WORK,I work for much time.
translate ASL to English: WHAT YOU WANT,I want to learn what you want to do.
translate ASL to English: TIME WE HAVE,We have no time to waste.
translate ASL to English: EVERYTHING TELL,Tell Tom everything is fine.
translate ASL to English: DINNER YOU LIKE,What would you like for dinner?
translate ASL to English: FAMILY YOU WANT,I want you to meet my family.
translate ASL to English: THING IT SEEM,It seemed like the right thing to do.
translate ASL to English: THING IT SEEM,"At the time, it seemed like the right thing to do."
translate ASL to English: THIS I HAVE,I really don't have time for this right now.
translate ASL to English: THEY SLEEP,Right now they're all sleeping.
translate ASL to English: IT YOU LIKE,How do you like it?
translate ASL to English: WHAT YOU LIKE,What would you like to see?
translate ASL to English: YOU LOOK,It looks like you were wrong.
translate ASL to English: YOU LOOK,It looks like you were right.
translate ASL to English: CONCERT YOU LIKE,How did you like the concert?
translate ASL to English: HORSES YOU LIKE,How can you not like horses?
translate ASL to English: OUTFIT YOU LIKE,How do you like this outfit?
translate ASL to English: WHAT YOU LIKE,What would you like to hear?
translate ASL to English: WHAT YOU LIKE,What would you like to know?
translate ASL to English: YOU LIKE,How would you like to proceed?
translate ASL to English: WHAT YOU LIKE,What would you like to do tonight?
translate ASL to English: MEANTIME YOU LIKE,What would you like to do in the meantime?
translate ASL to English: THIS I NEED,I need time to think about all of this.
translate ASL to English: TIME WE HAVE,We have no time to lose.
translate ASL to English: TIME WE HAVE,We'll have plenty of time later.
translate ASL to English: TIME YOU HAVE,You may have all the time you need.
translate ASL to English: WHAT RECEIVER NEED,What does the receiver need to know?
translate ASL to English: IT YOU TELL,Tell us how you did it.
translate ASL to English: FORM TIME HAVE,Time has no form or substance.
translate ASL to English: COLOR SHE LIKE,She doesn't like this color.
translate ASL to English: THAT HAPPEN,That happens to be wrong.
translate ASL to English: THIS HAPPEN,This has happened before.
translate ASL to English: WHAT HAPPEN,What happened last month?
translate ASL to English: THIS HAPPEN,How could this all happen?
translate ASL to English: COINCIDENCES HAPPEN,Coincidences happen all the time.
translate ASL to English: CRASHES HAPPEN,Crashes happen all the time.
translate ASL to English: NOTHING HAPPEN,Nothing's happening right now.
translate ASL to English: THEM WHAT TELL,Tell them what happened.
translate ASL to English: US WHAT TELL,Tell us what happened last night.
translate ASL to English: THIS HAPPEN,This has all happened before.
translate ASL to English: ME WHAT LIKE,Would you like to tell me what happened?
translate ASL to English: 'S LET,Let's go outside and play.
translate ASL to English: IT HAPPEN,It's happening all the time now.
translate ASL to English: STUFF HAPPEN,This stuff happens all the time.
translate ASL to English: PEOPLE WHAT HAPPEN,What happened to all those people?
translate ASL to English: ME IT TELL,Tell me how it happened.
translate ASL to English: SCHOOL WHAT HAPPEN,What happened at school yesterday?
translate ASL to English: TIME ALL HAPPEN,That all happened at about the same time.
translate ASL to English: LANGUAGE THEY SPEAK,What language are they speaking?
translate ASL to English: THIS GO,Go away now and I'll forget this happened.
translate ASL to English: THIS WORK,This should work.
translate ASL to English: TOM WHO HAPPEN,What happened to the man who shot Tom?
translate ASL to English: SCHOOL WHAT TELL,Can you tell us what happened at school last Monday?
translate ASL to English: TEA I WANT,I want to drink tea.
translate ASL to English: EVERYTHING WHAT CHANGE,What will change everything?
translate ASL to English: YOU WANT,Do you want to go somewhere?
translate ASL to English: YEAR HE HAVE,He will have to repeat the school year.
translate ASL to English: YOU WANT,What is it you want to buy?
translate ASL to English: THOSE YOU BUY,How many of those did you buy?
translate ASL to English: TIME YOU GET,You've got to give it time.
translate ASL to English: TIME YOU HAVE,You have to give me time.
translate ASL to English: ME YOU GIVE,What help can you give me?
translate ASL to English: WHAT YOU GIVE,What did you give up?
translate ASL to English: TOM YOU GIVE,What did you give Tom?
translate ASL to English: ME YOU GIVE,What did you give me?
translate ASL to English: YOU TOM GIVE,What did Tom give you?
translate ASL to English: US YOU GIVE,What can you give us?
translate ASL to English: TIME WE GIVE,We must give it time.
translate ASL to English: WHAT I GIVE,Now give me what I want.
translate ASL to English: GO 'S LET,Let's give this another go.
translate ASL to English: IT I GIVE,I'll give it right back.
translate ASL to English: GO I GIVE,I'll give it a go.
translate ASL to English: WHAT WE GIVE,Give us what we want.
translate ASL to English: WHAT YOU GIVE,Give me what you have now.
translate ASL to English: TRY YOU WANT,Do you want to give it a try?
translate ASL to English: GO YOU WANT,Do you want to give it a go?
translate ASL to English: I GIVE,"All right, I give up."
translate ASL to English: WHAT THEY GIVE,Give the public what they want.
translate ASL to English: TRY I LIKE,I'd like to give it a try.
translate ASL to English: GO WE DECIDE,We decided to give it a go.
translate ASL to English: TRY 'S LET,"All right, let's give it a try."
translate ASL to English: SOMETHING YOU NEED,You need to eat something.
translate ASL to English: WORK YOU NEED,You need to eat something before you go to work.
translate ASL to English: WHO EAT,Who ate the last donut?
translate ASL to English: LUNCH YOU EAT,What time do you eat lunch?
translate ASL to English: MOST YOU LIKE,What do you like to eat the most?
translate ASL to English: WE GO,We're going to eat right now.
translate ASL to English: IT SAY,Tom said it was time to eat.
translate ASL to English: THIS I EAT,How do I eat this?
translate ASL to English: THAT YOU EAT,How can you eat that?
translate ASL to English: THIS YOU EAT,How can you eat at a time like this?
translate ASL to English: THIS YOU WANT,Do you want to eat this?
translate ASL to English: BREAD YOU EAT,Did you eat all the bread?
translate ASL to English: SCHOOL I GO,I go to school daily.
translate ASL to English: GIRLS WORK,The girls work.
translate ASL to English: TABLE TOM PUT,Tom put the book on the table.
translate ASL to English: SCHOOL HE GO,Does he go to school early?
translate ASL to English: TOM WHAT NEED,You need to tell Tom what happened.
translate ASL to English: US YOU WANT,Do you want to have a drink with us?
translate ASL to English: FRIENDS I WANT,I want to go play with my friends.
translate ASL to English: HELP YOU NEED,You still need help.
translate ASL to English: TOM I DO,What can I do to help Tom?
translate ASL to English: HELP WE NEED,We'll need help.
translate ASL to English: TOM WE HELP,"We'll help Tom, but not now."
translate ASL to English: ME WANT,Tom would want me to help.
translate ASL to English: US WE TELL,Tom will tell us how we can help.
translate ASL to English: HELP TOM NEED,Tom needs help now.
translate ASL to English: THIS I NEED,I need Tom's help on this.
translate ASL to English: TOM I NEED,I need to help Tom.
translate ASL to English: YOU WE HELP,How can we help you?
translate ASL to English: HELP COME,Help is coming.
translate ASL to English: MAN SLEEP,That man sleeps all day.
translate ASL to English: SHIRT TOM WEAR,Tom was wearing a white shirt.
translate ASL to English: SHIRT TOM WEAR,Tom was wearing a faded blue work shirt.
translate ASL to English: TOM BEAT,Tom was beaten black and blue.
translate ASL to English: CARPET TOM SPILL,Tom spilled the can of blue paint on the white carpet.
translate ASL to English: SHIRT TOM WEAR,Tom is wearing an orange shirt.
translate ASL to English: HAT TOM WEAR,Tom is wearing a black hat.
translate ASL to English: DOG TOM HAVE,Tom has a black dog.
translate ASL to English: I NEED,"It doesn't need to be white, but I'd prefer white."
translate ASL to English: SHIRT I LIKE,I like that purple shirt.
translate ASL to English: HELP YOU NEED,You need to get help.
translate ASL to English: HELP WE NEED,We need to get help.
translate ASL to English: HAIR TOM HAVE,Tom has dark brown hair.
translate ASL to English: HAT TOM HAVE,Tom had no hat on.
translate ASL to English: TOM NEED,Tom doesn't need to work.
translate ASL to English: ORIGINAL STEAL,The original was stolen last year.
translate ASL to English: ORANGE IT LOOK,It looks like an orange.
translate ASL to English: ORANGE IT FEEL,It feels like an orange.
translate ASL to English: ORANGE IT SMELL,It smells like an orange.
translate ASL to English: TOM I LIKE,I'd like to be like Tom.
translate ASL to English: TOM I WANT,I want to be like Tom.
translate ASL to English: DOG MILLIE HAVE,Millie has a dog.
translate ASL to English: BOOK MILLIE HAVE,Millie has a book.
translate ASL to English: WHAT THIS MEAN,What does this all mean?
translate ASL to English: YOU GO,You can go to sleep now.
translate ASL to English: THIS YOU SLEEP,How can you sleep at a time like this?
translate ASL to English: YOU NEED,You need to work together.
translate ASL to English: YOU NEED,You need to work faster.
translate ASL to English: YOU NEED,You need to leave now.
translate ASL to English: TOM YOU NEED,You need to help Tom.
translate ASL to English: WHAT WE NEED,What do we need to do?
translate ASL to English: WHAT I NEED,What do I need to do?
translate ASL to English: WE WORK,We must work now.
translate ASL to English: WE WORK,We should work now.
translate ASL to English: WE NEED,We need to work now.
translate ASL to English: WE HAVE,We have to work now.
translate ASL to English: EVERYONE WHAT NEED,We need to tell everyone what happened.
translate ASL to English: THIS WE HAVE,We have to finish this.
translate ASL to English: THIS WE NEED,We need to finish this.
translate ASL to English: WHAT I TELL,Tell me what I have to do.
translate ASL to English: WHAT I TELL,Tell me what I need to do.
translate ASL to English: BOOK I WANT,I want to buy a book.
translate ASL to English: WE NEED,We need to talk right now.
translate ASL to English: WE HAVE,We have to talk right now.
translate ASL to English: I FEEL,"Right now, I feel like talking."
translate ASL to English: TIME I HAVE,I don't have time to talk right now.
translate ASL to English: THIS I LIKE,How can I like this?
translate ASL to English: THIS WHO LIKE,Who could like this?
translate ASL to English: THAT YOU NEED,What do you need that for?
translate ASL to English: FISHING I WANT,I want to go fishing.
translate ASL to English: ME WHO TELL,Tell me who won.
translate ASL to English: ME I TELL,Tell me I'm wrong.
translate ASL to English: TOM I TELL,What do I tell Tom?
translate ASL to English: ME IT TELL,Tell me what it is.
translate ASL to English: YOU I TELL,Do like I tell you.
translate ASL to English: TOM WE TELL,What do we tell Tom?
translate ASL to English: YOU I TELL,What did I tell you?
translate ASL to English: TOM I TELL,What can I tell Tom?
translate ASL to English: ME IT TELL,Tell me how it goes.
translate ASL to English: TOM I TELL,What will I tell Tom?
translate ASL to English: YOU HE TELL,What did he tell you?
translate ASL to English: US YOU TELL,What can you tell us?
translate ASL to English: ME YOU TELL,What can you tell me?
translate ASL to English: THEM WE TELL,Tell them who we are.
translate ASL to English: THIS WHO TELL,Tell me who did this.
translate ASL to English: WHAT YOU TELL,Tell me what you did.
translate ASL to English: WHAT YOU TELL,Tell me what you can.
translate ASL to English: ME IT TELL,Tell me how it works.
translate ASL to English: ME IT TELL,Tell me how it looks.
translate ASL to English: YOU TOM TELL,What did Tom tell you?
translate ASL to English: TOM WE TELL,We can tell Tom later.
translate ASL to English: WHAT YOU TELL,Tell me what you have.
translate ASL to English: WHAT I TELL,Tell me what I can do.
translate ASL to English: TOM YOU TELL,What will you tell Tom?
